date,tweets,user,clean_text1
2017-10-14,"Bersama kolektif leak .sanur yang tiada lelah berjuang untuk #balitolakreklamasi .

Shot by <e2><80><a6>",JRX_SID,kolektif leak sanur tiada lelah berjuang shot
2017-10-11,"Kids , respect your women and let 'em drown gracefully 
#bonghostel #nusalembongan #ecohostel #xrmblx #rumblegirl #balitolakreklamasi",JRX_SID,kids respect women drown gracefully
2017-09-14,"Finally ! Bar gigs ! Brussels see you tonight and tomorrow . We are playing alongside the amazing Mad <c3><a9> J

#SIDeuropeantour #balitolakreklamasi",JRX_SID,final bar gigs brussels tonight tomorrow playing alongside amazing mad
2017-09-10,"#BaliTolakReklamasi dan #KamiBersamaDandhy -- kemarin di Hamburg . 

#SIDeuropeantour 

Pic : @patrizki",JRX_SID,kemarin hamburg
2017-09-10,"Yesterday 's flame . Again , 6 pm today @PasarHamburg ! 

Video : @erickest
#SIDeuropeantour #Germany #Belgium #Netherlands #balitolakreklamasi",JRX_SID,yesterday flame pm video
2017-09-04,"Tonight !  

Repost from @gerobak_desa

Matembang ""Superman Is Dead "" Senin 4 September 2017 . See you

#tributetoSID #balitolakreklamasi",JRX_SID,tonight repost matembang superman dead senin september twothousandandseventeen
2017-08-30,"Under a red hot moon , take a bus downtown to the Grave yard shift tonight !

#sid #paistecymbals #xrmblx #balitolakreklamasi",JRX_SID,red hot moon bus downtown grave yard shift tonight
2017-08-17,"Raih merdekamu , abadikan api perlawananmu . Malam ini with @BonoSony akustikan di Banjar Tatasan DPS . Free . Starts 7 pm

#balitolakreklamasi",JRX_SID,raih merdekamu abadikan api perlawananmu malam akustik banjar tatasan dps free starts pm
2017-08-03,"Jeg cakcak yaaan @The_Dissland @ardha_neraka 

Video by @BudyHydrant
#balitolakreklamasi",JRX_SID,jeg yan video
2017-07-21,"Ada satu nyelip di telinga keyboardist nya

Pic : @ucok_olok the keyboardist

#devildice #plagawine #wineambassador #balitolakreklamasi",JRX_SID,nyelip telinga keyboardist keyboardist
2017-07-21,"Ring Of Fire

#rembangmelawan #baliforkendeng #balitolakreklamasi #sunnycafecanggu <e2><80><a6>",JRX_SID,ring fire
2017-07-20,"Coming soon . Kuta Rock City shades by @xRMBLx .

#xrmblx #balinesepride #movementbasedclothingbrand #ecodefender #balitolakreklamasi",JRX_SID,coming kuta rock city shades
2017-07-20,"Rock n Roll Band (SID ) covered by Roses Garage

#sid #tributetosid #balitolakreklamasi @ Gimme <e2><80><a6>",JRX_SID,rock roll band sid covered roses garage gimme
